,Terms,Freq
0,flavor,63355
1,fruit,58786
2,aroma,41019
3,finish,40453
4,palate,38292
5,acidity,34984
6,tannin,32817
7,cherry,31657
8,ripe,27044
9,black,25440
10,note,25252
11,dry,24449
12,spice,23025
13,red,19125
14,show,18600
15,berry,17842
16,rich,17321
17,fresh,16981
18,nose,16952
19,oak,16714
20,offer,16134
21,plum,15517
22,blend,15005
23,blackberry,14934
24,apple,14624
25,balance,14460
26,make,13623
27,soft,13552
28,crisp,12822
29,structure,12790
30,texture,12489
31,white,12488
32,sweet,12425
33,light,11512
34,citrus,11415
35,hint,11384
36,dark,11341
37,bright,10979
38,raspberry,10859
39,herb,10762
40,cabernet,10714
41,vanilla,10697
42,well,10634
43,touch,10558
44,full,10116
45,pepper,10097
46,juicy,9762
47,good,9502
48,fruity,9492
49,peach,9375
50,firm,9230
51,green,9193
52,feel,8981
53,lemon,8920
54,pear,8729
55,toast,8536
56,character,8461
57,chocolate,8249
58,open,8088
59,come,7895
60,currant,7701
61,age,7669
62,sauvignon,7506
63,smooth,7295
64,spicy,7208
65,pinot,7077
66,bottle,6894
67,lead,6773
68,bite,6722
69,round,6716
70,taste,6685
71,mineral,6527
72,give,6445
73,concentrate,6408
74,tannic,6345
75,also,6268
76,like,6210
77,tart,6203
78,herbal,6199
79,wood,6157
80,licorice,5983
81,body,5925
82,fine,5898
83,long,5820
84,still,5816
85,merlot,5805
86,mouth,5799
87,orange,5729
88,layer,5712
89,style,5710
90,bake,5702
91,there,5649
92,creamy,5648
93,clean,5631
94,grape,5541
95,dense,5400
96,lime,5398
97,alongside,5394
98,along,5379
99,leather,5262
100,syrah,5246
101,fullbodied,5232
102,flower,5215
103,savory,5191
104,delicious,5174
105,earthy,5161
106,tobacco,5155
107,honey,5116
108,tight,5086
109,slightly,5077
110,great,5027
111,elegant,5021
112,ready,4987
113,one,4985
114,chardonnay,4902
115,deliver,4778
116,yet,4772
117,mouthfeel,4733
118,complex,4730
119,vintage,4723
120,strawberry,4710
121,add,4667
122,color,4599
123,richness,4549
124,accent,4535
125,cassis,4519
126,new,4484
127,time,4463
128,freshness,4456
129,lively,4375
130,smoky,4361
131,apricot,4343
132,young,4310
133,melon,4273
134,pineapple,4248
135,edge,4186
136,scent,4152
137,cola,4150
138,grapefruit,4147
139,coffee,4107
140,smoke,4105
141,yellow,4096
142,linger,4054
143,cleave,3961
144,almost,3951
145,wild,3934
146,big,3915
147,need,3903
148,barrel,3893
149,little,3866
150,refresh,3862
151,bring,3845
152,attractive,3830
153,simple,3809
154,intense,3770
155,easy,3769
156,floral,3741
157,solid,3737
158,follow,3730
159,earth,3725
160,core,3701
161,perfume,3700
162,thats,3666
163,candy,3664
164,best,3664
165,complexity,3644
166,tropical,3641
167,mix,3594
168,stone,3577
169,cinnamon,3489
170,lightly,3466
171,tone,3466
172,blueberry,3464
173,minerality,3421
174,seem,3418
175,generous,3407
176,weight,3395
177,plenty,3381
178,end,3353
179,cranberry,3347
180,tangy,3344
181,alcohol,3305
182,drink,3288
183,crush,3241
184,almond,3241
185,bitter,3230
186,close,3223
187,pretty,3221
188,quite,3209
189,provide,3205
190,noir,3202
191,pair,3201
192,glass,3191
193,toasty,3177
194,mature,3116
195,zest,3115
196,blanc,3079
197,roast,3073
198,back,3071
199,suggest,3063
200,rise,3041
201,whiff,3038
202,lot,3023
203,cedar,3006
204,develop,3000
205,concentration,2988
206,strong,2911
207,meat,2910
208,much,2907
209,franc,2902
210,medium,2883
211,mocha,2854
212,silky,2854
213,powerful,2844
214,aftertaste,2835
215,go,2825
216,oaky,2815
217,delicate,2804
218,zesty,2796
219,acid,2795
220,jammy,2771
221,dominate,2770
222,violet,2739
223,warm,2737
224,way,2725
225,nice,2721
226,variety,2704
227,keep,2687
228,aromatic,2685
229,carry,2627
230,lean,2625
231,mediumbodied,2625
232,power,2622
233,anise,2616
234,enough,2606
235,although,2605
236,riesling,2579
237,cut,2569
238,depth,2565
239,subtle,2557
240,high,2554
241,bold,2552
242,deep,2545
243,mint,2542
244,vibrant,2540
245,lush,2527
246,textured,2525
247,dusty,2520
248,peel,2496
249,frame,2485
250,lift,2477
251,sweetness,2467
252,fruitiness,2457
253,polish,2451
254,even,2435
255,together,2433
256,peppery,2429
257,pure,2416
258,right,2415
259,malbec,2406
260,produce,2404
261,espresso,2397
262,enjoy,2393
263,caramel,2388
264,butter,2385
265,jam,2370
266,hard,2367
267,take,2365
268,tangerine,2354
269,exotic,2348
270,thick,2334
271,pack,2331
272,first,2329
273,appeal,2316
274,rather,2315
275,estate,2307
276,element,2292
277,price,2280
278,quality,2272
279,winery,2256
280,support,2237
281,bouquet,2222
282,side,2221
283,next,2221
284,heavy,2210
285,mark,2195
286,french,2184
287,smell,2181
288,velvety,2176
289,lovely,2162
290,valley,2149
291,vine,2145
292,brisk,2121
293,grenache,2121
294,skin,2116
295,sour,2114
296,forward,2111
297,grill,2107
298,leave,2102
299,hold,2097
300,sip,2090
301,start,2082
302,blossom,2072
303,focus,2042
304,integrate,2039
305,chewy,2033
306,interest,2033
307,get,2021
308,varietal,2004
309,nicely,1997
310,already,1990
311,supple,1987
312,petit,1984
313,sugar,1975
314,intensity,1974
315,prune,1960
316,sangiovese,1960
317,could,1940
318,rosé,1940
319,fragrant,1937
320,verdot,1909
321,elegance,1897
322,expression,1890
323,food,1884
324,ripen,1875
325,combine,1873
326,sense,1866
327,lend,1863
328,olive,1857
329,sharp,1854
330,around,1852
331,streak,1847
332,impressive,1836
333,nectarine,1831
334,find,1829
335,month,1828
336,classic,1827
337,would,1822
338,tea,1813
339,raisin,1784
340,cab,1782
341,include,1767
342,turn,1761
343,cellar,1755
344,sage,1748
345,char,1729
346,two,1703
347,blue,1701
348,now,1683
349,though,1664
350,set,1663
351,cocoa,1660
352,overall,1623
353,better,1621
354,pleasant,1611
355,producer,1599
356,soon,1585
357,beautiful,1569
358,cool,1562
359,forest,1555
360,remain,1552
361,straightforward,1551
362,soften,1551
363,juice,1546
364,potential,1536
365,wet,1532
366,midpalate,1524
367,many,1519
368,last,1514
369,plump,1505
370,lack,1501
371,acidic,1498
372,doesnt,1497
373,despite,1489
374,fill,1483
375,load,1475
376,mild,1460
377,length,1453
378,racy,1439
379,without,1436
380,tomato,1432
381,beautifully,1427
382,tightly,1420
383,leaf,1419
384,pie,1417
385,old,1410
386,grip,1409
387,pink,1405
388,reveal,1403
389,somewhat,1398
390,soil,1395
391,mango,1394
392,front,1394
393,here,1386
394,ample,1373
395,astringent,1366
396,raw,1366
397,fleshy,1365
398,chunky,1365
399,feature,1355
400,rustic,1352
401,source,1347
402,boast,1340
403,highlight,1337
404,wrap,1335
405,top,1332
406,appellation,1321
407,least,1317
408,pomegranate,1315
409,honeysuckle,1310
410,another,1308
411,citrusy,1305
412,lemony,1304
413,extract,1300
414,plush,1297
415,graphite,1291
416,grow,1280
417,underbrush,1277
418,opulent,1271
419,cream,1270
420,burst,1260
421,short,1257
422,approachable,1246
423,winemaker,1244
424,fig,1240
425,boysenberry,1235
426,purple,1235
427,viognier,1234
428,hot,1233
429,name,1228
430,nut,1222
431,play,1221
432,heat,1211
433,bean,1210
434,finegrained,1205
435,across,1204
436,meaty,1202
437,beef,1202
438,mushroom,1202
439,nuance,1200
440,menthol,1195
441,excellent,1190
442,part,1184
443,intrigue,1184
444,petite,1183
445,region,1181
446,extra,1177
447,burn,1172
448,steely,1170
449,offdry,1167
450,present,1161
451,gentle,1158
452,petal,1158
453,coconut,1154
454,zinfandel,1148
455,robust,1147
456,result,1146
457,leathery,1135
458,fairly,1123
459,refine,1119
460,nutmeg,1115
461,perfect,1110
462,promise,1109
463,really,1109
464,density,1105
465,brown,1100
466,blackfruit,1097
467,family,1096
468,restrain,1095
469,de,1094
470,taut,1093
471,small,1091
472,mourvèdre,1089
473,sirah,1085
474,fully,1085
475,thyme,1084
476,use,1084
477,minty,1080
478,rind,1079
479,broad,1076
480,star,1069
481,invite,1066
482,display,1066
483,background,1061
484,intensely,1060
485,amount,1060
486,tar,1056
487,slight,1049
488,salty,1048
489,brace,1045
490,may,1045
491,continue,1045
492,woody,1041
493,mellow,1032
494,rubbery,1027
495,mouthwatering,1021
496,chalky,1017
497,le,1016
498,chop,1013
499,richly,1011
500,run,1011
501,ferment,1008
502,easygoing,1007
503,dole,1007
504,yeasty,1003
505,bordeaux,1003
506,tasty,1002
507,youll,1000
508,floor,992
509,luscious,987
510,mountain,984
511,create,983
512,bacon,982
513,emerge,981
514,thin,979
515,serious,977
516,entirely,974
517,golden,972
518,press,971
519,meet,964
520,allow,963
521,sandalwood,962
522,value,960
523,modest,960
524,dish,959
525,california,958
526,succulent,956
527,please,954
528,low,954
529,easydrinking,953
530,hit,950
531,point,946
532,throughout,944
533,typical,940
534,reserve,937
535,balsamic,936
536,stage,936
537,stew,934
538,backbone,934
539,work,931
540,help,927
541,basic,927
542,banana,926
543,firmly,923
544,buttery,919
545,sauce,918
546,evolve,914
547,grind,912
548,game,911
549,certainly,908
550,case,905
551,toward,902
552,brighten,902
553,release,901
554,profile,900
555,minerally,900
556,thing,899
557,line,895
558,softly,895
559,grass,893
560,sparkle,893
561,austere,892
562,bitterness,890
563,finely,890
564,immediately,889
565,wind,888
566,tough,887
567,linear,886
568,moderate,885
569,quickly,880
570,define,873
571,drinkable,871
572,plant,871
573,residual,870
574,final,870
575,base,868
576,effort,868
577,stalky,866
578,label,863
579,subdue,863
580,cake,860
581,five,855
582,wait,854
583,dust,852
584,try,852
585,satisfy,849
586,entice,849
587,dont,848
588,milk,848
589,selection,848
590,unusual,842
591,example,841
592,cheese,840
593,napa,838
594,screwcap,834
595,build,833
596,brood,832
597,gritty,831
598,summer,829
599,youthful,827
600,redberry,823
601,butterscotch,822
602,briny,821
603,leafy,819
604,assertive,815
605,ginger,814
606,crispness,814
607,impression,813
608,lychee,811
609,recall,807
610,natural,807
611,zin,807
612,accessible,805
613,grippy,805
614,friendly,805
615,three,803
616,form,798
617,begin,796
618,drive,794
619,personality,792
620,lightbodied,791
621,wave,791
622,range,790
623,flat,790
624,dessert,788
625,chocolaty,785
626,hill,784
627,late,783
628,overripe,782
629,pencil,781
630,several,779
631,characteristic,777
632,redfruit,774
633,spring,773
634,sparkler,773
635,strongly,772
636,air,772
637,grassy,767
638,neutral,766
639,relatively,766
640,know,765
641,level,761
642,deliciously,760
643,match,760
644,asian,758
645,freshly,758
646,hearty,757
647,rock,756
648,six,755
649,compact,755
650,component,754
651,steak,754
652,lavender,753
653,always,748
654,stand,748
655,enjoyable,747
656,center,746
657,become,739
658,especially,739
659,sensation,736
660,want,733
661,mingle,730
662,warmth,730
663,mostly,729
664,might,726
665,rough,723
666,extremely,722
667,suggestion,721
668,everyday,712
669,salt,711
670,bone,710
671,rubber,709
672,passion,708
673,decant,708
