,Terms,Freq,POS
0,flavor,63355,NN
1,fruit,58786,NN
2,aroma,41019,NN
3,finish,40453,JJ
4,palate,38292,NN
5,acidity,34984,NN
6,tannin,32817,NN
7,cherry,31657,NN
8,ripe,27044,JJ
9,black,25440,JJ
10,note,25252,NN
11,dry,24449,JJ
12,spice,23025,NN
13,red,19125,VBD
14,show,18600,NN
15,berry,17842,NN
16,rich,17321,JJ
17,fresh,16981,JJ
18,nose,16952,JJ
19,oak,16714,NN
20,offer,16134,NN
21,plum,15517,NN
22,blend,15005,NN
23,blackberry,14934,NN
24,apple,14624,NN
25,balance,14460,NN
26,make,13623,VBP
27,soft,13552,JJ
28,crisp,12822,NN
29,structure,12790,NN
30,texture,12489,NN
31,white,12488,JJ
32,sweet,12425,JJ
33,light,11512,JJ
34,citrus,11415,NNS
35,hint,11384,VBP
36,dark,11341,JJ
37,bright,10979,JJ
38,raspberry,10859,NN
39,herb,10762,NN
40,cabernet,10714,NN
41,vanilla,10697,NN
42,well,10634,RB
43,touch,10558,JJ
44,full,10116,JJ
45,pepper,10097,NN
46,juicy,9762,NN
47,good,9502,JJ
48,fruity,9492,NN
49,peach,9375,NN
50,firm,9230,NN
51,green,9193,JJ
52,feel,8981,NN
53,lemon,8920,JJ
54,pear,8729,IN
55,toast,8536,JJ
56,character,8461,NN
57,chocolate,8249,NN
58,open,8088,JJ
59,come,7895,VBN
60,currant,7701,JJ
61,age,7669,NN
62,sauvignon,7506,VBD
63,smooth,7295,JJ
64,spicy,7208,NN
65,pinot,7077,NN
66,bottle,6894,JJ
67,lead,6773,JJ
68,bite,6722,NN
69,round,6716,NN
70,taste,6685,NN
71,mineral,6527,JJ
72,give,6445,JJ
73,concentrate,6408,NN
74,tannic,6345,NN
75,also,6268,RB
76,like,6210,IN
77,tart,6203,NN
78,herbal,6199,NN
79,wood,6157,NN
80,licorice,5983,NN
81,body,5925,NN
82,fine,5898,JJ
83,long,5820,RB
84,still,5816,RB
85,merlot,5805,VBN
86,mouth,5799,JJ
87,orange,5729,NN
88,layer,5712,NN
89,style,5710,NN
90,bake,5702,NN
91,there,5649,RB
92,creamy,5648,JJ
93,clean,5631,JJ
94,grape,5541,NN
95,dense,5400,NN
96,lime,5398,NN
97,alongside,5394,RB
98,along,5379,IN
99,leather,5262,RB
100,syrah,5246,JJ
101,fullbodied,5232,VBD
102,flower,5215,JJR
103,savory,5191,NN
104,delicious,5174,JJ
105,earthy,5161,JJ
106,tobacco,5155,NN
107,honey,5116,NN
108,tight,5086,NN
109,slightly,5077,RB
110,great,5027,JJ
111,elegant,5021,JJ
112,ready,4987,JJ
113,one,4985,CD
114,chardonnay,4902,NN
115,deliver,4778,NN
116,yet,4772,RB
117,mouthfeel,4733,VBN
118,complex,4730,JJ
119,vintage,4723,NN
120,strawberry,4710,NN
121,add,4667,VBP
122,color,4599,NN
123,richness,4549,NN
124,accent,4535,JJ
125,cassis,4519,NN
126,new,4484,JJ
127,time,4463,NN
128,freshness,4456,NN
129,lively,4375,RB
130,smoky,4361,JJ
131,apricot,4343,NN
132,young,4310,JJ
133,melon,4273,NN
134,pineapple,4248,NN
135,edge,4186,NN
136,scent,4152,NN
137,cola,4150,NN
138,grapefruit,4147,NN
139,coffee,4107,NN
140,smoke,4105,VBD
141,yellow,4096,JJ
142,linger,4054,NN
143,cleave,3961,VBP
144,almost,3951,RB
145,wild,3934,JJ
146,big,3915,JJ
147,need,3903,NN
148,barrel,3893,NN
149,little,3866,JJ
150,refresh,3862,JJ
151,bring,3845,NN
152,attractive,3830,JJ
153,simple,3809,JJ
154,intense,3770,JJ
155,easy,3769,JJ
156,floral,3741,JJ
157,solid,3737,JJ
158,follow,3730,JJ
159,earth,3725,NN
160,core,3701,NN
161,perfume,3700,NN
162,thats,3666,VBZ
163,candy,3664,JJ
164,best,3664,RBS
165,complexity,3644,NN
166,tropical,3641,JJ
167,mix,3594,NN
168,stone,3577,NN
169,cinnamon,3489,NN
170,lightly,3466,RB
171,tone,3466,CD
172,blueberry,3464,JJ
173,minerality,3421,NN
174,seem,3418,VBP
175,generous,3407,JJ
176,weight,3395,NN
177,plenty,3381,JJ
178,end,3353,NN
179,cranberry,3347,NN
180,tangy,3344,NN
181,alcohol,3305,NN
182,drink,3288,VBP
183,crush,3241,NN
184,almond,3241,NN
185,bitter,3230,NN
186,close,3223,JJ
187,pretty,3221,RB
188,quite,3209,RB
189,provide,3205,JJ
190,noir,3202,IN
191,pair,3201,NN
192,glass,3191,NN
193,toasty,3177,JJ
194,mature,3116,NN
195,zest,3115,JJS
196,blanc,3079,NN
197,roast,3073,NN
198,back,3071,RB
199,suggest,3063,VBP
200,rise,3041,NN
201,whiff,3038,NN
202,lot,3023,NN
203,cedar,3006,NN
204,develop,3000,VB
205,concentration,2988,NN
206,strong,2911,JJ
207,meat,2910,NN
208,much,2907,JJ
209,franc,2902,NN
210,medium,2883,NN
211,mocha,2854,NN
212,silky,2854,NN
213,powerful,2844,JJ
214,aftertaste,2835,NN
215,go,2825,VBP
216,oaky,2815,JJ
217,delicate,2804,NN
218,zesty,2796,NN
219,acid,2795,NN
220,jammy,2771,NN
221,dominate,2770,VBP
222,violet,2739,NN
223,warm,2737,JJ
224,way,2725,NN
225,nice,2721,JJ
226,variety,2704,NN
227,keep,2687,VB
228,aromatic,2685,JJ
229,carry,2627,NN
230,lean,2625,JJ
231,mediumbodied,2625,JJ
232,power,2622,NN
233,anise,2616,RB
234,enough,2606,RB
235,although,2605,IN
236,riesling,2579,VBG
237,cut,2569,JJ
238,depth,2565,JJ
239,subtle,2557,JJ
240,high,2554,JJ
241,bold,2552,JJ
242,deep,2545,JJ
243,mint,2542,NN
244,vibrant,2540,JJ
245,lush,2527,NN
246,textured,2525,VBD
247,dusty,2520,JJ
248,peel,2496,NN
249,frame,2485,NN
250,lift,2477,NN
251,sweetness,2467,NN
252,fruitiness,2457,NN
253,polish,2451,JJ
254,even,2435,RB
255,together,2433,RB
256,peppery,2429,JJ
257,pure,2416,NN
258,right,2415,NN
259,malbec,2406,NN
260,produce,2404,VBP
261,espresso,2397,JJ
262,enjoy,2393,NN
263,caramel,2388,NN
264,butter,2385,NN
265,jam,2370,NN
266,hard,2367,JJ
267,take,2365,VBP
268,tangerine,2354,JJ
269,exotic,2348,JJ
270,thick,2334,NN
271,pack,2331,NN
272,first,2329,RB
273,appeal,2316,JJ
274,rather,2315,RB
275,estate,2307,NN
276,element,2292,JJ
277,price,2280,NN
278,quality,2272,NN
279,winery,2256,NN
280,support,2237,NN
281,bouquet,2222,VBD
282,side,2221,JJ
283,next,2221,JJ
284,heavy,2210,JJ
285,mark,2195,NN
286,french,2184,JJ
287,smell,2181,NN
288,velvety,2176,NN
289,lovely,2162,RB
290,valley,2149,JJ
291,vine,2145,NN
292,brisk,2121,NN
293,grenache,2121,NN
294,skin,2116,FW
295,sour,2114,JJ
296,forward,2111,NN
297,grill,2107,NN
298,leave,2102,VBP
299,hold,2097,VBN
300,sip,2090,JJ
301,start,2082,VBP
302,blossom,2072,JJ
303,focus,2042,NN
304,integrate,2039,NN
305,chewy,2033,NN
306,interest,2033,NN
307,get,2021,NN
308,varietal,2004,JJ
309,nicely,1997,RB
310,already,1990,RB
311,supple,1987,JJ
312,petit,1984,NN
313,sugar,1975,NN
314,intensity,1974,NN
315,prune,1960,VBP
316,sangiovese,1960,NNS
317,could,1940,MD
318,rosé,1940,VB
319,fragrant,1937,JJ
320,verdot,1909,NN
321,elegance,1897,NN
322,expression,1890,NN
323,food,1884,NN
324,ripen,1875,VB
325,combine,1873,NN
326,sense,1866,NN
327,lend,1863,VBP
328,olive,1857,JJ
329,sharp,1854,JJ
330,around,1852,IN
331,streak,1847,JJ
332,impressive,1836,JJ
333,nectarine,1831,NN
334,find,1829,VBP
335,month,1828,NN
336,classic,1827,JJ
337,would,1822,MD
338,tea,1813,VB
339,raisin,1784,JJ
340,cab,1782,NN
341,include,1767,VBP
342,turn,1761,NN
343,cellar,1755,JJ
344,sage,1748,NN
345,char,1729,NN
346,two,1703,CD
347,blue,1701,NN
348,now,1683,RB
349,though,1664,IN
350,set,1663,VBN
351,cocoa,1660,NN
352,overall,1623,JJ
353,better,1621,RBR
354,pleasant,1611,JJ
355,producer,1599,NN
356,soon,1585,RB
357,beautiful,1569,JJ
358,cool,1562,JJ
359,forest,1555,JJS
360,remain,1552,VBP
361,straightforward,1551,JJ
362,soften,1551,JJ
363,juice,1546,NN
364,potential,1536,NN
365,wet,1532,NN
366,midpalate,1524,VBP
367,many,1519,JJ
368,last,1514,JJ
369,plump,1505,JJ
370,lack,1501,NN
371,acidic,1498,JJ
372,doesnt,1497,NN
